Company,Symbol,Sector
3M,MMM,Conglomerate
American Express,AXP,Financial Services
Apple,AAPL,Tech
Boeing,BA,Aerospace
Caterpiller,CAT,Construction
Chevron,CVX,Oil & Gas
Cisco,CSCO,Tech
Coca-Cola,KO,Food and Beverages
Disney,DIS,Entertainment
DowDuPont Inc,DWDP,Chemical Industry
Exxon Mobil,XOM,Oil & Gas
Goldman Sachs,GS,Financial Services
Home Depot,HD,Retail
IBM,IBM,Tech
Intel,INTC,Tech
Johnson & Johnson,JNJ,Pharmaceuticals
JPMorgan Chase,JPM,Financial Services
McDonald's,MCD,Food
Merck & Company,MEK,Pharmaceuticals
Microsoft,MSFT,Tech
Nike,NKE,Apparel
Pfizer,PFE,Pharmaceuticals
Procter & Gamble,PG,Consumer Goods
Travelers Companies Inc,TRV,Insurance
United Technologies,UTX,Conglomerate
UnitedHealth,UNH,Managed Health Care
Verizon,VZ,Telecom
Visa,V,Financial Services
WalMart,WMT,Retail
Walgreens Boots Alliance,WBA,Retail
